,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes,Place Name,Latitude,Longitude
0,2008,Alabama,AL,"McCain, John",republican,1266546,AL,"Obama, Barack H.",democrat,813479,2099819,"Alabama, USA",32.31823,-86.902298
1,2008,Alaska,AK,"McCain, John",republican,193841,AK,"Obama, Barack H.",democrat,123594,326197,"Alaska, USA",66.160507,-153.36914099999998
2,2008,Arizona,AZ,"McCain, John",republican,1230111,AZ,"Obama, Barack H.",democrat,1034707,2293475,"Arizona, USA",34.048927,-111.09373500000001
3,2008,Arkansas,AR,"McCain, John",republican,638017,AR,"Obama, Barack H.",democrat,422310,1086617,"Arkansas, the US",34.799999,-92.199997
4,2008,California,CA,"McCain, John",republican,5011781,CA,"Obama, Barack H.",democrat,8274473,13561900,"California, the USA",36.778259000000006,-119.41793100000001
5,2008,Colorado,CO,"McCain, John",republican,1073589,CO,"Obama, Barack H.",democrat,1288576,2401361,"Colorado, USA",39.113014,-105.35888700000001
6,2008,Connecticut,CT,"McCain, John",republican,629428,CT,"Obama, Barack H.",democrat,997772,1646792,"Connecticut, the US",41.599998,-72.699997
7,2008,Delaware,DE,"McCain, John",republican,152374,DE,"Obama, Barack H.",democrat,255459,412412,"Delaware, the US",39.0,-75.5
8,2008,Florida,FL,"McCain, John",republican,4045624,FL,"Obama, Barack H.",democrat,4282074,8390744,"Florida, USA",27.994402,-81.760254
9,2008,Georgia,GA,"McCain, John",republican,2048759,GA,"Obama, Barack H.",democrat,1844123,3924486,"Georgia, the USA",33.247875,-83.441162
10,2008,Hawaii,HI,"McCain, John",republican,120566,HI,"Obama, Barack H.",democrat,325871,456064,"Hawaii, USA",19.741754999999998,-155.844437
11,2008,Idaho,ID,"McCain, John",republican,403012,ID,"Obama, Barack H.",democrat,236440,655122,"Idaho, USA",44.068203000000004,-114.742043
12,2008,Illinois,IL,"McCain, John",republican,2031179,IL,"Obama, Barack H.",democrat,3419348,5522371,"Illinois, the US",40.0,-89.0
13,2008,Indiana,IN,"McCain, John",republican,1345648,IN,"Obama, Barack H.",democrat,1374039,2751054,"Indiana, USA",40.273502,-86.126976
14,2008,Iowa,IA,"McCain, John",republican,682379,IA,"Obama, Barack H.",democrat,828940,1537123,"Iowa, the USA",42.032973999999996,-93.58154300000001
15,2008,Kansas,KS,"McCain, John",republican,699655,KS,"Obama, Barack H.",democrat,514765,1235872,"Kansas, the US",38.5,-98.0
16,2008,Kentucky,KY,"McCain, John",republican,1048462,KY,"Obama, Barack H.",democrat,751985,1826620,"Kentucky, USA",37.839333,-84.27002
17,2008,Louisiana,LA,"McCain, John",republican,1148275,LA,"Obama, Barack H.",democrat,782989,1960761,"Louisiana, USA",30.39183,-92.329102
18,2008,Maine,ME,"McCain, John",republican,295273,ME,"Obama, Barack H.",democrat,421923,731163,"Maine, the USA",45.367584,-68.97216800000001
19,2008,Maryland,MD,"McCain, John",republican,959862,MD,"Obama, Barack H.",democrat,1629467,2631596,"Maryland, USA",39.045753000000005,-76.641273
20,2008,Massachusetts,MA,"McCain, John",republican,1108854,MA,"Obama, Barack H.",democrat,1904097,3102995,"Massachusetts, USA",42.407211,-71.382439
21,2008,Michigan,MI,"McCain, John",republican,2048639,MI,"Obama, Barack H.",democrat,2872579,5001596,"Michigan, USA",44.182204999999996,-84.50683599999999
22,2008,Minnesota,MN,"McCain, John",republican,1275409,MN,"Obama, Barack H.",democrat,1573354,2910369,"Minnesota, USA",46.39241,-94.63623
23,2008,Mississippi,MS,"McCain, John",republican,724597,MS,"Obama, Barack H.",democrat,554662,1289865,"Mississippi, the US",33.0,-90.0
24,2008,Missouri,MO,"McCain, John",republican,1445814,MO,"Obama, Barack H.",democrat,1441911,2925205,"Missouri, USA",38.573935999999996,-92.60376
25,2008,Montana,MT,"McCain, John",republican,242763,MT,"Obama, Barack H.",democrat,231667,490109,"Montana, USA",46.96526,-109.53369099999999
26,2008,Nebraska,NE,"McCain, John",republican,452979,NE,"Obama, Barack H.",democrat,333319,801281,"Nebraska, the US",41.5,-100.0
27,2008,Nevada,NV,"McCain, John",republican,412827,NV,"Obama, Barack H.",democrat,533736,967848,"Nevada, USA",39.876019,-117.224121
28,2008,New Hampshire,NH,"McCain, John",republican,316534,NH,"Obama, Barack H.",democrat,384826,710970,"New Hampshire, the US",44.0,-71.5
29,2008,New Jersey,NJ,"McCain, John",republican,1613207,NJ,"Obama, Barack H.",democrat,2215422,3868237,"New Jersey, USA",39.833851,-74.871826
30,2008,New Mexico,NM,"McCain, John",republican,346832,NM,"Obama, Barack H.",democrat,472422,830158,"New Mexico, USA",34.307144,-106.01806599999999
31,2008,New York,NY,"McCain, John",republican,2418323,NY,"Obama, Barack H.",democrat,4645332,7722019,"New York, the US",43.0,-75.0
32,2008,North Carolina,NC,"McCain, John",republican,2128474,NC,"Obama, Barack H.",democrat,2142651,4310851,"North Carolina, USA",35.782169,-80.79345699999999
33,2008,North Dakota,ND,"McCain, John",republican,168601,ND,"Obama, Barack H.",democrat,141278,316621,"North Dakota, USA",47.650589000000004,-100.437012
